company_id,year,debt_to_equity,interest_coverage,icr_label,icr_warning,net_debt,asset_turnover,high_leverage_flag
ABB,Dec 2012,0.0,,Debt Free,False,0,1.822491730981257,False
ABB,Mar 2014,0.0,,Debt Free,False,0,1.9982440737489024,False
ABB,Mar 2015,0.0,,Debt Free,False,0,1.665938864628821,False
ABB,Mar 2016,0.0,138.33333333333334,,False,0,1.6175742574257426,False
ABB,Mar 2017,0.0,227.5,,False,0,1.40513068731849,False
ABB,Mar 2018,0.0,160.5,,False,0,1.365066225165563,False
ABB,Mar 2019,0.0,359.0,,False,0,1.2509350561033663,False
ABB,Mar 2020,0.07198683669271905,96.77777777777777,,False,175,1.153932901043135,False
ABB,Mar 2021,0.058800922367409685,55.72222222222222,,False,153,1.1223958333333333,False
ABB,Mar 2022,0.05390070921985816,61.31578947368421,,False,152,1.1631155303030303,False
ABB,Mar 2023,0.03544542032622334,85.0,,False,113,1.1740561896400352,False
ABB,Mar 2024,0.022438496891051634,141.75,,False,83,1.1263238975544,False
ADANIENSOL,Mar 2014,0.0,,Debt Free,False,0,,False
ADANIENSOL,Mar 2015,8.95752539242844,1.4246575342465753,,True,9701,0.011399234249912982,True
ADANIENSOL,Mar 2016,3.2129491017964074,2.0867293625914316,,False,8565,0.18678699131619275,False
ADANIENSOL,Mar 2017,3.045469969460468,2.2179203539823007,,False,8870,0.22449457497463118,False
ADANIENSOL,Mar 2018,1.7216443784051512,3.31489841986456,,False,10428,0.22843903851723138,False
ADANIENSOL,Mar 2019,2.50366778565212,2.2386772106398274,,False,19801,0.2243688187235088,False
ADANIENSOL,Mar 2020,2.8528062124955875,2.019213583556747,,False,23933,0.2874770214801944,False
ADANIENSOL,Mar 2021,3.0378966251821953,2.3925366084081245,,False,26653,0.22958782439746495,False
ADANIENSOL,Mar 2022,3.016443054574801,2.3221987315010573,,False,29341,0.23719029158941513,False
ADANIENSOL,Mar 2023,2.916843986722274,2.193815174397699,,False,32900,0.24647704516798932,False
ADANIENSOL,Mar 2024,2.93252116130053,2.284784965666787,,False,36304,0.2836960606785336,False
ADANIENT,Mar 2013,3.240418769863526,2.2325315005727377,,False,69009,0.41453996120531683,False
ADANIENT,Mar 2014,3.0298438355011155,1.84815009644047,,False,71692,0.4652503767929417,False
ADANIENT,Mar 2015,3.248250932835821,1.876700680272109,,False,82827,0.4931608500742055,False
ADANIENT,Mar 2016,1.4328748691882194,2.0103168754605747,,False,18364,0.8159504786583172,False
ADANIENT,Mar 2017,1.4746745897000566,2.1089896579156724,,False,19804,0.7673226775325029,False
ADANIENT,Mar 2018,1.1688647359003248,1.9208,,False,16176,0.6368938923854268,False
ADANIENT,Mar 2019,0.7619273515857956,1.5218461538461538,,False,9732,0.9492900131653188,False
ADANIENT,Mar 2020,0.7328140673865581,2.013994910941476,,False,10467,0.9259306666666667,False
ADANIENT,Mar 2021,0.9456844804475786,2.178649237472767,,False,10724,0.7659685762442606,False
ADANIENT,Mar 2022,1.8692546165251382,1.870942201108472,,False,37312,0.6833618805740949,False
ADANIENT,Mar 2023,1.6096335965628876,2.431846812799194,,False,46890,0.9027590990812441,False
ADANIENT,Mar 2024,1.671358378544375,2.7492864983534577,,False,56609,0.6004321671876751,False
ADANIGREEN,Mar 2017,3.6134663341645887,1.4461077844311376,,True,4321,0.08149350649350649,False
ADANIGREEN,Mar 2018,7.355704697986577,1.6032608695652173,,False,9777,0.09421350818002419,True
ADANIGREEN,Mar 2019,5.764097258147957,1.4264049955396967,,True,11065,0.14040114613180515,True
ADANIGREEN,Mar 2020,6.307170131523122,1.3457286432160804,,True,14390,0.13835214937038645,True
ADANIGREEN,Mar 2021,11.004090909090909,1.3476702508960574,,True,23707,0.10888052418792694,True
ADANIGREEN,Mar 2022,20.211170619739864,1.5357279327474207,,False,52258,0.08706788343454218,True
ADANIGREEN,Mar 2023,7.423740416210296,1.936447956028856,,False,53074,0.11621754920862665,True
ADANIGREEN,Mar 2024,6.595281675818589,1.713943268078306,,False,63343,0.10467043571055559,True
ADANIPORTS,Mar 2013,1.817328745699093,5.029520295202952,,False,11398,0.17004991680532447,False
ADANIPORTS,Mar 2014,1.4807758128921849,3.6888433981576254,,False,12916,0.19572881630668235,False
ADANIPORTS,Mar 2015,1.651277287505806,3.90468085106383,,False,17516,0.19175861853999127,False
ADANIPORTS,Mar 2016,1.6543502406516104,4.72153024911032,,False,21797,0.18520255308063047,False
ADANIPORTS,Mar 2017,1.2674883030925481,5.784050179211469,,False,21053,0.19458599460444095,False
ADANIPORTS,Mar 2018,1.0701813136870306,5.067131095630145,,False,21291,0.23972646243092752,False
ADANIPORTS,Mar 2019,1.1370425077958313,5.693140794223827,,False,26930,0.19401182717408677,False
ADANIPORTS,Mar 2020,1.1879640177554307,4.036391594054331,,False,29064,0.1917567065587803,False
ADANIPORTS,Mar 2021,1.1778522387569397,4.725055432372505,,False,33619,0.16827116462417205,False
ADANIPORTS,Mar 2022,1.1461944955883407,4.465408805031447,,False,44774,0.1741009681881051,False
ADANIPORTS,Mar 2023,1.1772455881380952,4.771053745239103,,False,46002,0.18524737258246493,False
ADANIPORTS,Mar 2024,0.9373223691689719,5.949506037321624,,False,45181,0.22830109659056916,False
ADANIPORTS,Mar 2013,1.817328745699093,5.029520295202952,,False,11398,0.17004991680532447,False
ADANIPORTS,Mar 2014,1.4807758128921849,3.6888433981576254,,False,12916,0.19572881630668235,False
ADANIPORTS,Mar 2015,1.651277287505806,3.90468085106383,,False,17516,0.19175861853999127,False
ADANIPORTS,Mar 2016,1.6543502406516104,4.72153024911032,,False,21797,0.18520255308063047,False
ADANIPORTS,Mar 2017,1.2674883030925481,5.784050179211469,,False,21053,0.19458599460444095,False
ADANIPORTS,Mar 2018,1.0701813136870306,5.067131095630145,,False,21291,0.23972646243092752,False
ADANIPORTS,Mar 2019,1.1370425077958313,5.693140794223827,,False,26930,0.19401182717408677,False
ADANIPORTS,Mar 2020,1.1879640177554307,4.036391594054331,,False,29064,0.1917567065587803,False
ADANIPORTS,Mar 2021,1.1778522387569397,4.725055432372505,,False,33619,0.16827116462417205,False
ADANIPORTS,Mar 2022,1.1461944955883407,4.465408805031447,,False,44774,0.1741009681881051,False
ADANIPORTS,Mar 2023,1.1772455881380952,4.771053745239103,,False,46002,0.18524737258246493,False
ADANIPORTS,Mar 2024,0.9373223691689719,5.949506037321624,,False,45181,0.22830109659056916,False
ADANIPOWER,Mar 2013,9.735616119263918,0.6899588960657663,,True,41773,0.12236688121708601,True
ADANIPOWER,Mar 2014,6.747669264863212,1.1364728495915426,,True,44035,0.2609509865676978,True
ADANIPOWER,Mar 2015,7.815196506550218,1.2060032894736843,,True,44385,0.3195095256011219,True
ADANIPOWER,Mar 2016,7.06065881092662,1.5469424460431656,,False,52729,0.33481542074570547,True
ADANIPOWER,Mar 2017,17.494666666666667,0.3920704845814978,,True,52320,0.31625903707121983,True
ADANIPOWER,Mar 2018,59.43194600674916,1.111310592459605,,True,52835,0.29202623403520883,True
ADANIPOWER,Mar 2019,6.091804979253112,1.313593777620647,,True,46977,0.3513127895859381,True
ADANIPOWER,Mar 2020,8.517049837987965,1.139604891815616,,True,55196,0.3527890703098967,True
ADANIPOWER,Mar 2021,4.005109433386716,2.0754014884449665,,False,52499,0.3327284724513362,False
ADANIPOWER,Mar 2022,2.662675407704394,3.3672771672771673,,False,48962,0.33801734548248985,False
