company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct
ABB,Dec 2012,8.771929824561402,12.220205686630369,22.411128284389488,36.321483771251934,15.986769570011026
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,40.10152284263959,17.383669885864794
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,40.10152284263959,17.383669885864794
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,40.10152284263959,17.383669885864794
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,40.10152284263959,17.383669885864794
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,40.10152284263959,17.383669885864794
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,40.10152284263959,17.383669885864794
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,40.10152284263959,17.383669885864794
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,40.10152284263959,17.383669885864794
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,38.4204909284952,16.666666666666664
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,38.4204909284952,16.666666666666664
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,38.4204909284952,16.666666666666664
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,38.4204909284952,16.666666666666664
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,38.4204909284952,16.666666666666664
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,38.4204909284952,16.666666666666664
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,38.4204909284952,16.666666666666664
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,38.4204909284952,16.666666666666664
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,34.72803347280335,15.77970297029703
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,34.72803347280335,15.77970297029703
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,34.72803347280335,15.77970297029703
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,34.72803347280335,15.77970297029703
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,34.72803347280335,15.77970297029703
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,34.72803347280335,15.77970297029703
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,34.72803347280335,15.77970297029703
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,34.72803347280335,15.77970297029703
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,32.804614275414565,13.407550822846078
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,32.804614275414565,13.407550822846078
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,32.804614275414565,13.407550822846078
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,32.804614275414565,13.407550822846078
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,32.804614275414565,13.407550822846078
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,32.804614275414565,13.407550822846078
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,32.804614275414565,13.407550822846078
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,32.804614275414565,13.407550822846078
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,37.92085056113408,16.5976821192053
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,37.92085056113408,16.5976821192053
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,37.92085056113408,16.5976821192053
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,37.92085056113408,16.5976821192053
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,37.92085056113408,16.5976821192053
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,37.92085056113408,16.5976821192053
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,37.92085056113408,16.5976821192053
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,37.92085056113408,16.5976821192053
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,35.756972111553786,15.300918055083304
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,35.756972111553786,15.300918055083304
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,35.756972111553786,15.300918055083304
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,35.756972111553786,15.300918055083304
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,35.756972111553786,15.300918055083304
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,35.756972111553786,15.300918055083304
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,35.756972111553786,15.300918055083304
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,35.756972111553786,15.300918055083304
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,33.42287029930929,16.718353538201296
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,33.42287029930929,16.718353538201296
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,33.42287029930929,16.718353538201296
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,33.42287029930929,16.718353538201296
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,33.42287029930929,16.718353538201296
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,33.42287029930929,16.718353538201296
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,33.42287029930929,16.718353538201296
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,33.42287029930929,16.718353538201296
